dataset_name;sampler_name;budget;embedding_dim;hidden_dim_multiplier;dropout;distance_loss_weight;train_epochs;learning_rate;test_accuracy;test_macro_f1;test_confusion
Cora;model;14;16;6;0.5;0.5;16;0.003;0.198531211750306;0.17441691592853656;"[[30.7  8.5  8.5  2.3  8.4 16.8 30.8]
 [15.8 11.   6.8  0.4  7.3 13.  11.7]
 [27.4 12.7 23.   0.3  9.3 29.8 23.5]
 [76.2 24.5 19.9 11.2 23.  50.1 41.1]
 [32.7 12.5  9.3  2.6 31.7 19.7 19.5]
 [17.7  6.2  6.6  0.1  8.1 28.6 22.7]
 [10.2  2.7  4.4  0.1  2.6  9.  26. ]]"
Cora;model;21;16;6;0.5;0.5;16;0.003;0.304406364749082;0.2678672109189759;"[[24.2 10.8 10.5 15.5  8.2 18.3 18.5]
 [ 9.2 13.7 10.5  5.8  4.5 14.2  8.1]
 [13.7 13.1 42.8  1.  13.4 26.2 15.8]
 [41.5 24.6 20.8 64.1 15.5 43.2 36.3]
 [15.4  7.6 12.2 13.9 48.8 15.5 14.6]
 [16.1  5.8  9.   5.2  1.5 34.7 17.7]
 [ 8.8  5.5  4.3  4.6  1.8  9.6 20.4]]"
Cora;model;28;16;6;0.5;0.5;16;0.003;0.3674418604651163;0.32991698618122856;"[[22.7  2.  18.7 17.4  3.  29.2 13. ]
 [ 6.5 14.2 14.6  4.1  1.9 18.6  6.1]
 [13.4  1.3 70.9  1.4  1.5 27.8  9.7]
 [33.7  1.4 31.8 69.9 20.8 64.6 23.8]
 [ 9.9  0.3 15.6 13.2 55.6 21.  12.4]
 [13.6  0.6  9.2  4.9  2.2 48.5 11. ]
 [ 7.9  0.9  7.8  6.2  1.  12.8 18.4]]"
Cora;model;35;16;6;0.5;0.5;16;0.003;0.47649938800489594;0.4426039335106541;"[[1.680e+01 3.000e+00 1.790e+01 2.230e+01 4.800e+00 3.100e+01 1.020e+01]
 [1.000e-01 2.730e+01 8.400e+00 7.100e+00 9.000e-01 1.920e+01 3.000e+00]
 [4.000e-01 9.000e-01 8.330e+01 8.300e+00 4.000e-01 2.580e+01 6.900e+00]
 [5.900e+00 2.300e+00 2.280e+01 1.174e+02 1.090e+01 7.020e+01 1.650e+01]
 [4.200e+00 1.100e+00 6.800e+00 2.160e+01 6.140e+01 2.410e+01 8.800e+00]
 [3.300e+00 1.300e+00 7.900e+00 4.900e+00 2.000e-01 6.520e+01 7.200e+00]
 [2.400e+00 8.000e-01 8.600e+00 7.800e+00 0.000e+00 1.750e+01 1.790e+01]]"
Cora;model;42;16;6;0.5;0.5;16;0.003;0.5266829865361078;0.487110705937813;"[[2.70e+01 1.50e+00 1.70e+01 1.88e+01 4.80e+00 3.18e+01 5.10e+00]
 [0.00e+00 2.66e+01 1.42e+01 5.90e+00 8.00e-01 1.84e+01 1.00e-01]
 [3.00e-01 8.00e-01 9.79e+01 4.20e+00 3.00e-01 2.13e+01 1.20e+00]
 [6.60e+00 2.30e+00 3.07e+01 1.28e+02 1.13e+01 6.58e+01 1.30e+00]
 [4.10e+00 1.30e+00 1.19e+01 1.83e+01 6.68e+01 2.48e+01 8.00e-01]
 [4.10e+00 9.00e-01 8.50e+00 4.90e+00 3.00e-01 6.85e+01 2.80e+00]
 [5.20e+00 3.00e-01 1.16e+01 6.00e+00 2.00e-01 1.62e+01 1.55e+01]]"
Cora;model;49;16;6;0.5;0.5;16;0.003;0.5898408812729499;0.5525466027793615;"[[3.250e+01 1.100e+00 1.200e+01 2.510e+01 4.900e+00 2.480e+01 5.600e+00]
 [2.000e-01 2.990e+01 9.500e+00 9.800e+00 6.000e-01 1.560e+01 4.000e-01]
 [9.000e-01 6.000e-01 9.970e+01 4.700e+00 2.000e-01 1.980e+01 1.000e-01]
 [7.300e+00 2.200e+00 1.670e+01 1.584e+02 1.090e+01 4.890e+01 1.600e+00]
 [5.500e+00 1.000e+00 7.400e+00 1.780e+01 7.390e+01 2.100e+01 1.400e+00]
 [5.800e+00 1.500e+00 4.700e+00 6.600e+00 3.000e-01 6.830e+01 2.800e+00]
 [5.700e+00 0.000e+00 7.000e+00 9.300e+00 0.000e+00 1.380e+01 1.920e+01]]"
Cora;model;56;16;6;0.5;0.5;16;0.003;0.6433292533659731;0.6162611545234699;"[[4.240e+01 3.200e+00 1.400e+01 1.750e+01 4.200e+00 1.800e+01 6.700e+00]
 [4.000e-01 3.650e+01 1.170e+01 5.100e+00 1.000e-01 1.170e+01 5.000e-01]
 [9.000e-01 4.000e-01 1.135e+02 1.800e+00 0.000e+00 9.300e+00 1.000e-01]
 [9.700e+00 5.300e+00 2.110e+01 1.620e+02 1.190e+01 3.340e+01 2.600e+00]
 [5.700e+00 1.700e+00 8.200e+00 1.130e+01 8.200e+01 1.770e+01 1.400e+00]
 [6.400e+00 2.000e+00 5.400e+00 5.900e+00 5.000e-01 6.640e+01 3.400e+00]
 [6.300e+00 0.000e+00 9.300e+00 5.000e+00 1.000e-01 1.150e+01 2.280e+01]]"
Cora;model;63;16;6;0.5;0.5;16;0.003;0.6872705018359853;0.6614218669228079;"[[4.530e+01 5.200e+00 6.400e+00 2.210e+01 5.000e+00 1.420e+01 7.800e+00]
 [6.000e-01 4.270e+01 7.500e+00 6.700e+00 1.000e-01 7.900e+00 5.000e-01]
 [9.000e-01 1.100e+00 1.143e+02 3.000e+00 0.000e+00 6.600e+00 1.000e-01]
 [8.500e+00 1.000e+01 8.500e+00 1.754e+02 1.180e+01 2.800e+01 3.800e+00]
 [5.600e+00 3.000e+00 2.200e+00 1.640e+01 9.000e+01 9.200e+00 1.600e+00]
 [5.100e+00 3.000e+00 3.200e+00 7.100e+00 5.000e-01 6.670e+01 4.400e+00]
 [5.000e+00 1.000e-01 5.500e+00 6.600e+00 1.000e-01 1.060e+01 2.710e+01]]"
Cora;model;70;16;6;0.5;0.5;16;0.003;0.7152998776009791;0.6951617805234249;"[[5.680e+01 3.100e+00 7.700e+00 1.600e+01 3.500e+00 1.030e+01 8.600e+00]
 [1.100e+00 4.280e+01 7.500e+00 6.100e+00 1.000e-01 7.500e+00 9.000e-01]
 [1.600e+00 1.100e+00 1.152e+02 2.900e+00 0.000e+00 4.900e+00 3.000e-01]
 [1.490e+01 6.400e+00 6.500e+00 1.794e+02 1.020e+01 2.360e+01 5.000e+00]
 [7.900e+00 2.000e+00 2.300e+00 1.360e+01 9.080e+01 8.400e+00 3.000e+00]
 [6.300e+00 2.400e+00 3.700e+00 5.700e+00 4.000e-01 6.700e+01 4.500e+00]
 [6.500e+00 0.000e+00 3.600e+00 3.900e+00 0.000e+00 8.600e+00 3.240e+01]]"
Cora;model;77;16;6;0.5;0.5;16;0.003;0.747858017135863;0.7254717813492071;"[[6.600e+01 3.100e+00 4.800e+00 1.670e+01 3.000e+00 7.000e+00 5.400e+00]
 [1.900e+00 4.630e+01 6.900e+00 6.400e+00 1.000e-01 4.000e+00 4.000e-01]
 [2.100e+00 1.500e+00 1.140e+02 5.400e+00 1.000e-01 2.900e+00 0.000e+00]
 [1.760e+01 5.600e+00 3.700e+00 1.942e+02 9.700e+00 1.280e+01 2.400e+00]
 [9.700e+00 4.100e+00 8.000e-01 1.250e+01 9.270e+01 6.600e+00 1.600e+00]
 [7.300e+00 2.600e+00 3.000e+00 5.800e+00 5.000e-01 6.730e+01 3.500e+00]
 [8.600e+00 7.000e-01 2.500e+00 4.800e+00 0.000e+00 7.900e+00 3.050e+01]]"
Cora;model;84;16;6;0.5;0.5;16;0.003;0.7537331701346389;0.733450287815209;"[[6.240e+01 2.400e+00 3.400e+00 1.930e+01 3.400e+00 1.100e+01 4.100e+00]
 [1.500e+00 4.680e+01 6.000e+00 5.800e+00 2.000e-01 5.500e+00 2.000e-01]
 [1.500e+00 1.000e+00 1.128e+02 5.400e+00 3.000e-01 4.800e+00 2.000e-01]
 [1.280e+01 3.800e+00 2.500e+00 2.005e+02 8.400e+00 1.550e+01 2.500e+00]
 [7.800e+00 2.300e+00 1.500e+00 1.420e+01 9.460e+01 6.300e+00 1.300e+00]
 [6.100e+00 2.300e+00 3.100e+00 7.400e+00 7.000e-01 6.710e+01 3.300e+00]
 [8.700e+00 0.000e+00 1.600e+00 4.300e+00 0.000e+00 8.800e+00 3.160e+01]]"
Cora;model;91;16;6;0.5;0.5;16;0.003;0.7587515299877601;0.7434262673474705;"[[6.830e+01 3.500e+00 2.300e+00 1.460e+01 3.600e+00 9.800e+00 3.900e+00]
 [2.200e+00 4.840e+01 5.500e+00 4.900e+00 2.000e-01 4.600e+00 2.000e-01]
 [2.500e+00 2.000e+00 1.125e+02 4.300e+00 2.000e-01 4.300e+00 2.000e-01]
 [1.700e+01 6.800e+00 2.200e+00 1.937e+02 9.400e+00 1.520e+01 1.700e+00]
 [8.100e+00 2.600e+00 1.000e-01 1.290e+01 9.520e+01 8.000e+00 1.100e+00]
 [6.900e+00 2.900e+00 2.600e+00 7.200e+00 3.000e-01 6.710e+01 3.000e+00]
 [6.500e+00 2.000e-01 7.000e-01 4.000e+00 0.000e+00 8.900e+00 3.470e+01]]"
Cora;model;98;16;6;0.5;0.5;16;0.003;0.7761321909424724;0.758181884243695;"[[ 71.4   3.6   2.3  12.8   4.2   7.9   3.8]
 [  2.   50.5   4.6   5.1   0.3   3.2   0.3]
 [  2.6   2.  112.6   5.7   0.2   2.5   0.4]
 [ 17.8   7.5   2.8 198.7   8.8   8.4   2. ]
 [  8.6   2.8   0.6  12.6  97.5   4.9   1. ]
 [  7.    2.8   2.7   5.4   0.2  68.6   3.3]
 [  6.7   0.3   0.9   3.5   0.    8.8  34.8]]"
Cora;model;105;16;6;0.5;0.5;16;0.003;0.7847001223990209;0.7661362351939249;"[[7.110e+01 2.100e+00 2.400e+00 1.540e+01 4.000e+00 7.700e+00 3.300e+00]
 [1.700e+00 4.750e+01 5.500e+00 6.800e+00 2.000e-01 4.000e+00 3.000e-01]
 [2.100e+00 9.000e-01 1.121e+02 7.400e+00 3.000e-01 3.100e+00 1.000e-01]
 [1.560e+01 4.700e+00 2.300e+00 2.063e+02 8.100e+00 8.000e+00 1.000e+00]
 [8.100e+00 2.000e+00 3.000e-01 1.310e+01 9.890e+01 5.000e+00 6.000e-01]
 [6.300e+00 2.200e+00 2.600e+00 5.200e+00 4.000e-01 7.060e+01 2.700e+00]
 [7.000e+00 1.000e-01 1.000e+00 3.100e+00 0.000e+00 9.200e+00 3.460e+01]]"
