;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;133;0.05;16;128;0.5;1;0.003;0.778580171358629;0.0202396814021005;0.766347398905793;0.022203312688231;0.845864661654135;0.0477178766031573;0.842446193540456;0.050912816395589
Cora;model;140;0.05;16;128;0.5;1;0.003;0.784944920440636;0.0207079948144616;0.773264983439524;0.0239224570285421;0.861428571428571;0.0359831152139287;0.857509994684039;0.0410047304150296
Cora;model;0;0.1;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0.1;16;128;0.5;1;0.003;0.329130966952264;0.0977123648147416;0.231048882161812;0.063412516205551;0.842857142857143;0.105409255338946;0.766031746031746;0.150136785238645
Cora;model;14;0.1;16;128;0.5;1;0.003;0.435373317013464;0.0600713367682211;0.352688119989126;0.0738924807183185;0.842857142857143;0.133842564976716;0.788679653679654;0.147604731518315
Cora;model;21;0.1;16;128;0.5;1;0.003;0.51358629130967;0.0751228248817743;0.456410462566537;0.0911993515108543;0.833333333333333;0.105886222731161;0.790097917955061;0.122663615105595
Cora;model;28;0.1;16;128;0.5;1;0.003;0.532313341493268;0.0803483252565533;0.481330048265624;0.0978924797443954;0.817857142857143;0.127608830436777;0.77607066750145;0.170361100338788
Cora;model;35;0.1;16;128;0.5;1;0.003;0.603916768665851;0.0413637063401149;0.558165909520779;0.0528366557049919;0.897142857142857;0.070244148246041;0.850430616609299;0.119565339529745
Cora;model;42;0.1;16;128;0.5;1;0.003;0.652264381884945;0.058465946508295;0.607850962963339;0.0742302488383829;0.907142857142857;0.0598667370337972;0.870728164999284;0.105133365182465
Cora;model;49;0.1;16;128;0.5;1;0.003;0.688739290085679;0.0390401926751925;0.658023325874652;0.0588866038795649;0.910204081632653;0.0482945288416295;0.895758320373448;0.0656478570553823
Cora;model;56;0.1;16;128;0.5;1;0.003;0.710036719706242;0.0330676257696865;0.680597527897651;0.051275060677894;0.903571428571429;0.0470200420431702;0.887214727955296;0.0609203196841569
Cora;model;63;0.1;16;128;0.5;1;0.003;0.725458996328029;0.0298035960627865;0.698902703645667;0.0498666051661547;0.887301587301587;0.0628049237067679;0.870351800373367;0.080415327957182
Cora;model;70;0.1;16;128;0.5;1;0.003;0.722766217870257;0.0217523872094105;0.70316394058705;0.0289223831525845;0.897142857142857;0.048468611999998;0.887857415413946;0.0522699435487316
Cora;model;77;0.1;16;128;0.5;1;0.003;0.743329253365973;0.0233953311774088;0.730429528372272;0.022472160732896;0.879220779220779;0.0493772238012428;0.873415869282179;0.0534057850241437
Cora;model;84;0.1;16;128;0.5;1;0.003;0.746022031823745;0.0223040288838786;0.730216483098949;0.0242883623915913;0.861904761904762;0.0413156034438742;0.852837610193594;0.0456573161564963
Cora;model;91;0.1;16;128;0.5;1;0.003;0.756793145654835;0.0186258441855571;0.740851562020592;0.0214696582782193;0.856043956043956;0.0349236232572983;0.846248028587085;0.0361966778489769
Cora;model;98;0.1;16;128;0.5;1;0.003;0.767197062423501;0.0227294831506673;0.751774620344795;0.0210889439584213;0.859183673469388;0.0407595977658374;0.850716414757831;0.0474978536839767
Cora;model;105;0.1;16;128;0.5;1;0.003;0.769155446756426;0.0227763058770523;0.754022222370811;0.0217406961220115;0.856190476190476;0.0325145082643031;0.846201837883103;0.035896915028678
Cora;model;112;0.1;16;128;0.5;1;0.003;0.764749082007344;0.0173559337036579;0.752069132572527;0.0139413732847561;0.844642857142857;0.047283040733894;0.836680520297506;0.0504721468928967
Cora;model;119;0.1;16;128;0.5;1;0.003;0.77172582619339;0.0212413147633539;0.757590060099521;0.0179915868049386;0.852100840336134;0.0302209612532464;0.847669489793163;0.0336688341434852
Cora;model;126;0.1;16;128;0.5;1;0.003;0.774908200734394;0.0213367080283982;0.761521390054715;0.0208772394268031;0.838888888888889;0.042829372412323;0.831858166126349;0.0429275983119116
Cora;model;133;0.1;16;128;0.5;1;0.003;0.78078335373317;0.0158169131877274;0.767599048460791;0.0134092369859068;0.846616541353384;0.0354793751763135;0.845125233986864;0.0398771332264323
Cora;model;140;0.1;16;128;0.5;1;0.003;0.781395348837209;0.0167745713328865;0.767768999190159;0.0139834374992488;0.842142857142857;0.0352268321768424;0.83667270529541;0.0387953047702623
Cora;model;0;0.2;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0.2;16;128;0.5;1;0.003;0.328029375764994;0.095570568375828;0.230833391343839;0.0625629208523815;0.842857142857143;0.105409255338946;0.766031746031746;0.150136785238645
Cora;model;14;0.2;16;128;0.5;1;0.003;0.419094247246022;0.079560828115279;0.352220556106299;0.0855176752719252;0.835714285714286;0.106745294149809;0.747194392908679;0.11501815900359
Cora;model;21;0.2;16;128;0.5;1;0.003;0.507099143206854;0.0342087685029383;0.467502353949915;0.0524872192012429;0.880952380952381;0.0817113503252937;0.823789940218512;0.105390400402805
Cora;model;28;0.2;16;128;0.5;1;0.003;0.561444308445532;0.071598603117047;0.530071270897401;0.0789743316533231;0.867857142857143;0.0875627407068252;0.809657050077218;0.123655428660682
Cora;model;35;0.2;16;128;0.5;1;0.003;0.616523867809058;0.0683100346503207;0.568973049313578;0.0927100201742227;0.882857142857143;0.0562630685247312;0.834640836828812;0.111053624879434
Cora;model;42;0.2;16;128;0.5;1;0.003;0.676744186046512;0.038990700700383;0.638005745450499;0.049099830972902;0.916666666666667;0.0563994857283805;0.897838296515152;0.0836810601038264
Cora;model;49;0.2;16;128;0.5;1;0.003;0.694492044063647;0.0568015863393809;0.665469802014501;0.0568549030879376;0.914285714285714;0.0643927051221727;0.894119251678992;0.0812551949513044
Cora;model;56;0.2;16;128;0.5;1;0.003;0.708323133414933;0.0584705017713031;0.692869495163949;0.0505789385322319;0.883928571428571;0.0462986582919763;0.864636042965985;0.0575219248954658
Cora;model;63;0.2;16;128;0.5;1;0.003;0.734516523867809;0.0292988816638723;0.714058354867573;0.0294424627589479;0.893650793650794;0.0381906506510446;0.87617557902067;0.0529591085328457
Cora;model;70;0.2;16;128;0.5;1;0.003;0.740146878824969;0.0242821477715432;0.721812371273891;0.026484943458389;0.875714285714286;0.0223860176638917;0.861930445677824;0.0283278855922349
Cora;model;77;0.2;16;128;0.5;1;0.003;0.756058751529988;0.0205870641213732;0.73809185352453;0.0213801857229222;0.872727272727273;0.0334203620183875;0.861180564806379;0.0398876997383385
Cora;model;84;0.2;16;128;0.5;1;0.003;0.759975520195838;0.0200330136631544;0.743939269770302;0.0200892801671349;0.866666666666667;0.0311451061434104;0.853658094669621;0.0360049240961855
Cora;model;91;0.2;16;128;0.5;1;0.003;0.766829865361077;0.0264049864302644;0.751518405219366;0.0267970691443767;0.864835164835165;0.0279206432236769;0.853492974262756;0.0345853267488113
Cora;model;98;0.2;16;128;0.5;1;0.003;0.76891064871481;0.0281712809153597;0.755274108072727;0.0282765524538518;0.836734693877551;0.0288615012729203;0.822022178971378;0.037739194726269
Cora;model;105;0.2;16;128;0.5;1;0.003;0.7734394124847;0.021715623879518;0.76039906017078;0.0191197713770158;0.857142857142857;0.0269374011880589;0.850664556214379;0.0248321701784292
Cora;model;112;0.2;16;128;0.5;1;0.003;0.775642594859241;0.0262773337761555;0.763100052138529;0.0277971181553424;0.863392857142857;0.0381254530473807;0.849126279208373;0.0375613776812072
Cora;model;119;0.2;16;128;0.5;1;0.003;0.780660954712362;0.0128994089815509;0.767565728241442;0.0135860997056916;0.873949579831933;0.0163331985850009;0.85992117459539;0.0243825416889231
Cora;model;126;0.2;16;128;0.5;1;0.003;0.780416156670747;0.0192512212553896;0.768791504319646;0.0193349631836706;0.848412698412698;0.040889921333926;0.837207558076116;0.0420774142302067
Cora;model;133;0.2;16;128;0.5;1;0.003;0.785189718482252;0.0280199017505674;0.7717243879041;0.029468858269204;0.871428571428571;0.0299600972476563;0.862462829309446;0.0332037777418559
Cora;model;140;0.2;16;128;0.5;1;0.003;0.787760097919217;0.0240628159876838;0.776873035287332;0.0229552599870416;0.855714285714286;0.0379162461664655;0.845340386684559;0.0432046147462961
Cora;model;0;0.4;16;128;0.5;1;0.003;0.129742962056304;0;0.0328122581643708;0;;;;
Cora;model;7;0.4;16;128;0.5;1;0.003;0.328641370869033;0.0969440940587953;0.232100477891738;0.0596821238962604;0.842857142857143;0.105409255338946;0.759365079365079;0.160836900990912
