;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;7;0.1;16;128;0.5;1;0.003;0.309302325581395;0.0598464599169453;0.24236499951434;0.0759472717305717;0.885714285714286;0.112687233963802;0.841714285714286;0.159812058931403
Cora;model;14;0.1;16;128;0.5;1;0.003;0.371481028151775;0.0838812911584794;0.311160756593981;0.0882370262890183;0.828571428571429;0.143648601228556;0.774617735205971;0.122854987973129
Cora;model;21;0.1;16;128;0.5;1;0.003;0.458629130966952;0.0819698849393934;0.407709333837453;0.072996233637157;0.880952380952381;0.0644764952748886;0.802516624283542;0.111064792081144
Cora;model;28;0.1;16;128;0.5;1;0.003;0.497429620563036;0.0739210823786256;0.454214110084531;0.0653490965577942;0.839285714285714;0.0612835127439703;0.784947122438719;0.0819855092577688
Cora;model;35;0.1;16;128;0.5;1;0.003;0.578947368421053;0.084548894961982;0.525243512447981;0.0772250010519343;0.888571428571428;0.0767243202328489;0.864539380155401;0.101518232925681
Cora;model;42;0.1;16;128;0.5;1;0.003;0.632313341493268;0.0914389774640951;0.58215064721242;0.095343275732202;0.904761904761905;0.0604426436973326;0.89159024363093;0.094409684006924
Cora;model;49;0.1;16;128;0.5;1;0.003;0.662423500611995;0.0640068733188905;0.626148509904965;0.054383738066987;0.922448979591837;0.0498040958305391;0.903319734191288;0.067339910870664
Cora;model;56;0.1;16;128;0.5;1;0.003;0.713708690330477;0.0421934514929566;0.687574341847319;0.0372410748907659;0.9125;0.0371249193559826;0.890395181428986;0.0389246754032522
Cora;model;63;0.1;16;128;0.5;1;0.003;0.731456548347613;0.0235806583624213;0.701931657326636;0.0302303893607082;0.904761904761905;0.02993044576451;0.882472213052002;0.0334442904601631
Cora;model;70;0.1;16;128;0.5;1;0.003;0.749082007343941;0.0333061307743102;0.719647173788479;0.0371405663411208;0.895714285714286;0.0343715855859402;0.875535281518935;0.0349764358279731
